ID,Extremism_Label
2251,NON_EXTREMIST
2252,NON_EXTREMIST
2253,NON_EXTREMIST
2254,NON_EXTREMIST
2255,NON_EXTREMIST
2256,EXTREMIST
2257,NON_EXTREMIST
2258,NON_EXTREMIST
2259,NON_EXTREMIST
2260,NON_EXTREMIST
2261,EXTREMIST
2262,NON_EXTREMIST
2263,NON_EXTREMIST
2264,NON_EXTREMIST
2265,NON_EXTREMIST
2266,NON_EXTREMIST
2267,NON_EXTREMIST
2268,NON_EXTREMIST
2269,NON_EXTREMIST
2270,NON_EXTREMIST
2271,NON_EXTREMIST
2272,NON_EXTREMIST
2273,NON_EXTREMIST
2274,NON_EXTREMIST
2275,NON_EXTREMIST
2276,NON_EXTREMIST
2277,NON_EXTREMIST
2278,NON_EXTREMIST
2279,NON_EXTREMIST
2280,NON_EXTREMIST
2281,NON_EXTREMIST
2282,NON_EXTREMIST
2283,NON_EXTREMIST
2284,NON_EXTREMIST
2285,NON_EXTREMIST
2286,NON_EXTREMIST
2287,NON_EXTREMIST
2288,NON_EXTREMIST
2289,NON_EXTREMIST
2290,NON_EXTREMIST
2291,EXTREMIST
2292,NON_EXTREMIST
2293,NON_EXTREMIST
2294,NON_EXTREMIST
2295,EXTREMIST
2296,NON_EXTREMIST
2297,NON_EXTREMIST
2298,NON_EXTREMIST
2299,NON_EXTREMIST
2300,NON_EXTREMIST
2301,EXTREMIST
2302,NON_EXTREMIST
2303,NON_EXTREMIST
2304,NON_EXTREMIST
2305,NON_EXTREMIST
2306,NON_EXTREMIST
2307,NON_EXTREMIST
2308,NON_EXTREMIST
2309,NON_EXTREMIST
2310,NON_EXTREMIST
2311,NON_EXTREMIST
2312,NON_EXTREMIST
2313,NON_EXTREMIST
2314,NON_EXTREMIST
2315,NON_EXTREMIST
2316,NON_EXTREMIST
2317,NON_EXTREMIST
2318,NON_EXTREMIST
2319,NON_EXTREMIST
2320,NON_EXTREMIST
2321,NON_EXTREMIST
2322,NON_EXTREMIST
2323,NON_EXTREMIST
2324,NON_EXTREMIST
2325,NON_EXTREMIST
2326,NON_EXTREMIST
2327,NON_EXTREMIST
2328,NON_EXTREMIST
2329,NON_EXTREMIST
2330,NON_EXTREMIST
2331,NON_EXTREMIST
2332,NON_EXTREMIST
2333,NON_EXTREMIST
2334,NON_EXTREMIST
2335,NON_EXTREMIST
2336,NON_EXTREMIST
2337,NON_EXTREMIST
2338,NON_EXTREMIST
2339,EXTREMIST
2340,NON_EXTREMIST
2341,NON_EXTREMIST
2342,NON_EXTREMIST
2343,NON_EXTREMIST
2344,NON_EXTREMIST
2345,NON_EXTREMIST
2346,NON_EXTREMIST
2347,NON_EXTREMIST
2348,NON_EXTREMIST
2349,NON_EXTREMIST
2350,NON_EXTREMIST
2351,NON_EXTREMIST
2352,NON_EXTREMIST
2353,NON_EXTREMIST
2354,NON_EXTREMIST
2355,NON_EXTREMIST
2356,NON_EXTREMIST
2357,NON_EXTREMIST
2358,NON_EXTREMIST
2359,NON_EXTREMIST
2360,NON_EXTREMIST
2361,NON_EXTREMIST
2362,NON_EXTREMIST
2363,NON_EXTREMIST
